ID,Long30m,Lat30m,Hwy_Roads,Major_Roads,Res_Roads,Local_Trucks,Local_Restricted_Trucks,Commerical Zone,Industrial Zone,Residential Zone,NDVI_50,NLCD_Water_50,NLCD_DevOpen_50,NLCD_DevLow_50,NLCD_DevMed_50,NLCD_DevHigh_50,NLCD_Barren_50,NLCD_Deciduous_50,NLCD_Evergreen_50,NLCD_MixForest_50,NLCD_Shrub_50,NLCD_Herbaceous_50,NLCD_Pasture_50,NLCD_Crops_50,NLCD_WoodyWet_50,NLCD_EmergWet_50,Impervious_50,Distance_to_NPL,Distance_to_Rail,Elevation_50,Distance_to_TRI,Total_Road_50,Hwy_Road_50,Maj_Road_50,Res_Road_50,Pop_50,MinDist2Port,MinDist2MainPort,Dist2MainAirport,Dist2Airport
8592,-122.32521,37.79974,0,1,0,0,0,0,1,0,0.13896,2.5974,0,0,85.71429,11.68831,0,0,0,0,0,0,0,0,0,0,61.9026,0.00257,0.00052,4.19348,0.00026,231.03417,199.95855,0,0,1.61014,2.10253,0.36729,0.07763,0.07763
8594,-122.32518,37.79954,0,1,0,0,0,0,1,0,0.14138,0,0,0,83.65385,16.34615,0,0,0,0,0,0,0,0,0,0,68.45192,0.00261,0.00052,4.32625,0.00026,166.90932,0,0,0,0.0526,2.18331,0.36486,0.07773,0.07773
8597,-122.32507,37.79972,0,1,0,0,0,0,1,0,0.11549,0,0,0,76.99681,23.00319,0,0,0,0,0,0,0,0,0,0,67.00319,0.00256,0.00052,4.24192,0.00026,102.27539,0,0,0,0.0526,2.14612,0.36786,0.0777,0.0777
8601,-122.32492,37.79994,0,1,0,0,0,0,1,0,0.08576,10.61093,0,0,55.94855,33.44051,0,0,0,0,0,0,0,0,0,0,62.53055,0.00251,0.00053,4.06182,0.00026,187.7735,0,0,0,0.0526,2.09742,0.37175,0.07767,0.07767
8604,-122.32482,37.8002,0,1,0,0,0,0,1,0,0.05851,15.90909,4.54545,0,41.55844,37.98701,0,0,0,0,0,0,0,0,0,0,56.60065,0.00245,0.00054,3.70371,0.00026,246.78136,0,0,0,0.0526,2.02066,0.37582,0.0776,0.0776
8607,-122.32472,37.80046,0,1,0,0,0,0,1,0,0.03793,10.67961,9.06149,0,45.63107,34.62783,0,0,0,0,0,0,0,0,0,0,59.34951,0.0024,0.00054,3.67905,0.00026,102.2746,0,0,0,0.0526,1.94804,0.38001,0.07753,0.07753
8611,-122.32461,37.80072,0,1,0,0,0,0,1,0,0.02819,0.65574,6.22951,0,59.01639,34.09836,0,0,0,0,0,0,0,0,0,0,69.42951,0.00235,0.00055,3.68384,0.00026,388.37736,194.0457,0,0,5.82841,1.87676,0.3843,0.07746,0.07746
8614,-122.32451,37.80098,0,1,0,0,0,0,1,0,0.04459,0,5.44872,0,60.89744,33.65385,0,0,0,0,0,0,0,0,0,0,72.03526,0.0023,0.00055,3.5383,0.00027,214.32659,0,0,0,0.0526,1.80727,0.38868,0.07739,0.07739
8616,-122.3244,37.80123,0,1,0,0,0,0,1,0,0.0622,0,10.25641,0,52.88462,36.85897,0,0,0,0,0,0,0,0,0,0,70.32372,0.00225,0.00056,3.53303,0.00027,450.33221,223.26556,0,30.29606,5.82841,1.73952,0.39314,0.07732,0.07732
8618,-122.32435,37.8066,0,1,0,0,0,0,1,0,0.14603,0,15.70513,0,84.29487,0,0,0,0,0,0,0,0,0,0,0,59.98718,0.00162,0.0006,4.86958,0.00029,102.02077,91.90269,0,0,7.69371,1.44895,0.48764,0.07489,0.07489
